#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2009 01 02 03 30 106  1.5 999 99.0 9999
2009 01 02 03 40  87  1.8 999 99.0 9999
2009 01 02 03 50  84  2.2 999 99.0 9999
2009 01 02 04 00  93  2.3  75  3.9 0347
2009 01 02 04 10 103  1.5 999 99.0 9999
2009 01 02 04 20  93  2.3 999 99.0 9999
2009 01 02 04 30  91  2.5 999 99.0 9999
2009 01 02 04 40  84  3.0 999 99.0 9999
2009 01 02 04 50  82  2.5 999 99.0 9999
2009 01 02 05 00  84  3.0  91  4.7 0459
2009 01 02 05 10  91  2.5 999 99.0 9999
2009 01 02 05 20  99  1.9 999 99.0 9999
2009 01 02 05 30  82  2.5 999 99.0 9999
2009 01 02 05 40 104  2.3 999 99.0 9999
2009 01 02 05 50  94  2.2 999 99.0 9999
2009 01 02 06 00  76  2.5  94  4.2 0500
2009 01 02 06 10  76  2.7 999 99.0 9999
2009 01 02 06 20  45  2.4 999 99.0 9999
2009 01 02 06 30  61  1.6 999 99.0 9999
2009 01 02 06 40  56  2.9 999 99.0 9999
2009 01 02 06 50  55  2.1 999 99.0 9999
2009 01 02 07 00  46  2.4  87  4.8 0602
2009 01 02 07 10  54  2.2 999 99.0 9999
2009 01 02 07 20  42  2.1 999 99.0 9999
2009 01 02 07 30  19  3.7 999 99.0 9999
2009 01 02 07 40  27  4.4 999 99.0 9999
2009 01 02 07 50  33  4.0 999 99.0 9999
2009 01 02 08 00  32  4.3   7  6.2 0726
2009 01 02 08 10  14  5.1 999 99.0 9999
2009 01 02 08 20 345  6.4 999 99.0 9999
2009 01 02 08 30 356  6.9 999 99.0 9999
2009 01 02 08 40 359  7.5 999 99.0 9999
2009 01 02 08 50   3  8.2 999 99.0 9999
2009 01 02 09 00  16  8.3   3 10.3 0850
2009 01 02 09 10  17  8.0 999 99.0 9999
2009 01 02 09 20   9  8.5 999 99.0 9999
2009 01 02 09 30  13  9.0 999 99.0 9999
2009 01 02 09 40  15  8.8 999 99.0 9999
2009 01 02 09 50  10  9.0 999 99.0 9999
2009 01 02 10 00   7  9.4  29 11.6 0928
2009 01 02 10 10   3 10.0 999 99.0 9999
2009 01 02 10 20 347  9.9 999 99.0 9999
2009 01 02 10 30 348 11.5 999 99.0 9999
2009 01 02 10 40 343  9.7 999 99.0 9999
2009 01 02 10 50 349  9.5 999 99.0 9999
2009 01 02 11 00 334  9.5 349 14.4 1028
2009 01 02 11 10 334 10.3 999 99.0 9999
2009 01 02 11 20 345 10.2 999 99.0 9999
2009 01 02 11 30 345  9.4 999 99.0 9999
2009 01 02 11 40 338  9.5 999 99.0 9999
2009 01 02 11 50 338  8.8 999 99.0 9999
2009 01 02 12 00 340  9.7 343 12.6 1113
2009 01 02 12 10 344 10.7 999 99.0 9999
2009 01 02 12 20 349 12.1 999 99.0 9999
