#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 05 06 00 200  6.7  7.9 99.00 99.00 99.00 999 1014.2   7.6 999.0   5.8 99.0 99.00
2021 01 05 07 00 197  6.9  7.8 99.00 99.00 99.00 999 1015.7   7.5 999.0   5.6 99.0 99.00
2021 01 05 08 00 201  5.7  6.4 99.00 99.00 99.00 999 1016.8   7.8 999.0   6.2 99.0 99.00
2021 01 05 09 00 195  8.9  9.8 99.00 99.00 99.00 999 1017.8   7.9 999.0   6.6 99.0 99.00
2021 01 05 10 00 188  9.7 10.6 99.00 99.00 99.00 999 1018.5   7.8 999.0   6.6 99.0 99.00
2021 01 05 11 00 186 10.0 11.0 99.00 99.00 99.00 999 1018.2   7.7 999.0   6.3 99.0 99.00
2021 01 05 12 00 179  8.4  8.9 99.00 99.00 99.00 999 1018.3   7.5 999.0   6.1 99.0 99.00
2021 01 05 13 00 195 11.6 12.5 99.00 99.00 99.00 999 1018.8   7.4 999.0   6.1 99.0 99.00
2021 01 05 14 00 175 10.7 11.4 99.00 99.00 99.00 999 1018.2   7.7 999.0   5.4 99.0 99.00
2021 01 05 15 00 185 10.4 11.6 99.00 99.00 99.00 999 1018.7   8.0 999.0   5.7 99.0 99.00
2021 01 05 16 00 173  9.8 10.5 99.00 99.00 99.00 999 1019.0   8.0 999.0   4.9 99.0 99.00
2021 01 05 17 00 180  8.3  8.8 99.00 99.00 99.00 999 1019.3   8.2 999.0   5.5 99.0 99.00
2021 01 05 18 00 156  8.3  9.0 99.00 99.00 99.00 999 1018.9   7.9 999.0   4.5 99.0 99.00
2021 01 05 19 00 156  8.9  9.8 99.00 99.00 99.00 999 1017.4   8.1 999.0   3.8 99.0 99.00
2021 01 05 20 00 180 12.8 15.5 99.00 99.00 99.00 999 1017.4   7.9 999.0   4.7 99.0 99.00
2021 01 05 21 00 185 14.6 16.2 99.00 99.00 99.00 999 1017.8   7.9 999.0   5.2 99.0 99.00
2021 01 05 22 00 144  9.7 11.8 99.00 99.00 99.00 999 1016.0   6.9 999.0   5.4 99.0 99.00
2021 01 05 23 00 156  6.0  6.7 99.00 99.00 99.00 999 1015.2   6.2 999.0   4.7 99.0 99.00
2021 01 06 00 00 154  5.5  7.7 99.00 99.00 99.00 999 1014.0   5.9 999.0   4.6 99.0 99.00
2021 01 06 01 00 155  5.0  5.8 99.00 99.00 99.00 999 1013.3   6.7 999.0   5.8 99.0 99.00
2021 01 06 02 00 169  3.2  3.7 99.00 99.00 99.00 999 1012.7   6.3 999.0   5.7 99.0 99.00
2021 01 06 03 00 206  5.6  6.2 99.00 99.00 99.00 999 1012.6   6.4 999.0   6.0 99.0 99.00
2021 01 06 04 00 216  3.2  3.8 99.00 99.00 99.00 999 1013.3   6.0 999.0   5.6 99.0 99.00
2021 01 06 05 00 148  2.8  3.3 99.00 99.00 99.00 999 1012.8   5.9 999.0   5.8 99.0 99.00
2021 01 06 06 00 178  4.8  5.1 99.00 99.00 99.00 999 1012.9   6.4 999.0   6.4 99.0 99.00
2021 01 06 07 00 173 12.0 13.7 99.00 99.00 99.00 999 1012.1   8.4 999.0   7.6 99.0 99.00
2021 01 06 08 00 184 10.9 12.9 99.00 99.00 99.00 999 1013.3   8.1 999.0   7.2 99.0 99.00
2021 01 06 09 00 176 11.2 12.3 99.00 99.00 99.00 999 1014.1   8.4 999.0   7.6 99.0 99.00
2021 01 06 10 00 183  8.9 10.6 99.00 99.00 99.00 999 1014.6   8.3 999.0   7.7 99.0 99.00
2021 01 06 11 00 180  9.9 10.7 99.00 99.00 99.00 999 1014.8   7.9 999.0   7.3 99.0 99.00
2021 01 06 12 00 191 10.4 11.3 99.00 99.00 99.00 999 1015.1   8.3 999.0   7.2 99.0 99.00
2021 01 06 13 00 184  9.7 10.6 99.00 99.00 99.00 999 1014.8   8.1 999.0   7.0 99.0 99.00
2021 01 06 14 00 188  7.7  9.0 99.00 99.00 99.00 999 1015.6   8.1 999.0   7.2 99.0 99.00
2021 01 06 15 00 160  5.5  6.4 99.00 99.00 99.00 999 1016.1   7.9 999.0   7.1 99.0 99.00
2021 01 06 16 00 166  6.0  6.4 99.00 99.00 99.00 999 1017.0   8.0 999.0   7.3 99.0 99.00
2021 01 06 17 00 149  4.2  4.9 99.00 99.00 99.00 999 1017.4   7.9 999.0   7.1 99.0 99.00
2021 01 06 18 00 156  4.4  4.9 99.00 99.00 99.00 999 1017.9   8.2 999.0   6.8 99.0 99.00
2021 01 06 19 00 160  4.9  5.3 99.00 99.00 99.00 999 1017.7   8.3 999.0   7.0 99.0 99.00
